context_level,representation,outer_fold,label,f1
L3,bert,1,6,0.8459657701711492
L3,bert,1,7,0.7403314917127072
L3,bert,1,8,0.5257452574525746
L3,bert,1,9,0.7475247524752475
L3,bert,2,0,0.7930174563591023
L3,bert,2,1,0.576530612244898
L3,bert,2,2,0.7331670822942644
L3,bert,2,3,0.8637532133676092
L3,bert,2,4,0.8140703517587939
L3,bert,2,5,0.7237163814180929
L3,bert,2,6,0.8845208845208845
L3,bert,2,7,0.746268656716418
L3,bert,2,8,0.5467980295566501
L3,bert,2,9,0.7493670886075949
L3,bert,3,0,0.7761904761904761
L3,bert,3,1,0.5089974293059126
L3,bert,3,2,0.782608695652174
L3,bert,3,3,0.8361858190709046
L3,bert,3,4,0.8009708737864076
L3,bert,3,5,0.6819338422391857
L3,bert,3,6,0.8502415458937198
L3,bert,3,7,0.7315789473684211
L3,bert,3,8,0.4772117962466488
L3,bert,3,9,0.7070707070707072
L3,bert,4,0,0.7648456057007127
L3,bert,4,1,0.5467980295566501
L3,bert,4,2,0.7804878048780488
L3,bert,4,3,0.85785536159601
L3,bert,4,4,0.8431876606683804
L3,bert,4,5,0.7560975609756099
L3,bert,4,6,0.8444444444444444
L3,bert,4,7,0.7365728900255754
L3,bert,4,8,0.5
L3,bert,4,9,0.7235142118863048
L3,bert,5,0,0.7935034802784223
L3,bert,5,1,0.515
L3,bert,5,2,0.7761194029850748
L3,bert,5,3,0.8671679197994988
L3,bert,5,4,0.8029925187032418
L3,bert,5,5,0.7156862745098039
L3,bert,5,6,0.845
L3,bert,5,7,0.7803617571059431
L3,bert,5,8,0.5517241379310345
L3,bert,5,9,0.6994535519125684
L3,bert,6,0,0.7756097560975611
L3,bert,6,1,0.535064935064935
L3,bert,6,2,0.7719298245614035
L3,bert,6,3,0.85
L3,bert,6,4,0.8
L3,bert,6,5,0.7038834951456311
L3,bert,6,6,0.8296296296296296
L3,bert,6,7,0.72544080604534
L3,bert,6,8,0.4909560723514212
L3,bert,6,9,0.7240506329113924
L3,bert,7,0,0.8039702233250621
L3,bert,7,1,0.5129533678756476
L3,bert,7,2,0.7819548872180451
L3,bert,7,3,0.8689320388349514
L3,bert,7,4,0.8333333333333334
L3,bert,7,5,0.7463414634146341
L3,bert,7,6,0.8286445012787724
L3,bert,7,7,0.7826086956521738
L3,bert,7,8,0.5126903553299493
L3,bert,7,9,0.7339901477832513
L3,bert,8,0,0.7830423940149626
L3,bert,8,1,0.5099009900990098
L3,bert,8,2,0.7901234567901235
L3,bert,8,3,0.8447837150127224
L3,bert,8,4,0.7918781725888325
L3,bert,8,5,0.7086247086247086
L3,bert,8,6,0.8361858190709046
L3,bert,8,7,0.7680798004987532
L3,bert,8,8,0.4973544973544973
L3,bert,8,9,0.7150259067357512
L3,bert,9,0,0.7568922305764411
L3,bert,9,1,0.5699745547073791
L3,bert,9,2,0.7566265060240963
L3,bert,9,3,0.858560794044665
L3,bert,9,4,0.82
L3,bert,9,5,0.7848101265822786
L3,bert,9,6,0.8309859154929577
L3,bert,9,7,0.7493540051679586
L3,bert,9,8,0.5287958115183246
L3,bert,9,9,0.72
L3,bert,10,0,0.7703703703703705
L3,bert,10,1,0.5896805896805897
L3,bert,10,2,0.7575757575757575
L3,bert,10,3,0.8644501278772379
L3,bert,10,4,0.80306905370844
L3,bert,10,5,0.7358024691358026
L3,bert,10,6,0.8379052369077306
L3,bert,10,7,0.7401574803149606
L3,bert,10,8,0.535
L3,bert,10,9,0.7092198581560283
L4,bert,1,0,0.7845036319612592
L4,bert,1,1,0.583732057416268
L4,bert,1,2,0.7960199004975126
L4,bert,1,3,0.8746803069053708
L4,bert,1,4,0.7922705314009661
L4,bert,1,5,0.7568922305764411
L4,bert,1,6,0.8468899521531099
L4,bert,1,7,0.7601078167115903
L4,bert,1,8,0.5286103542234333
L4,bert,1,9,0.7518427518427518
