context_level,algorithm,representation,outer_fold,label,f1
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,4,5,0.7311320754716981
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,4,6,0.855036855036855
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,4,7,0.7109207708779444
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,4,8,0.5272206303724929
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,4,9,0.6906474820143884
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,5,0,0.7945205479452055
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,5,1,0.5037406483790525
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,5,2,0.8019093078758951
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,5,3,0.8706467661691543
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,5,4,0.8095238095238095
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,5,5,0.7116883116883117
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,5,6,0.8441247002398082
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,5,7,0.7647058823529413
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,5,8,0.580952380952381
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,5,9,0.6666666666666666
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,6,0,0.7506426735218509
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,6,1,0.5355648535564854
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,6,2,0.7731481481481481
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,6,3,0.818941504178273
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,6,4,0.780246913580247
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,6,5,0.6779661016949153
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,6,6,0.7973856209150326
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,6,7,0.7506702412868632
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,6,8,0.4332344213649851
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,6,9,0.7004830917874396
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,7,0,0.78743961352657
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,7,1,0.4958217270194986
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,7,2,0.7780429594272076
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,7,3,0.831858407079646
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,7,4,0.8367816091954023
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,7,5,0.7074235807860262
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,7,6,0.830379746835443
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,7,7,0.7576601671309194
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,7,8,0.463855421686747
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,7,9,0.7108753315649868
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,8,0,0.7534626038781165
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,8,1,0.4958217270194986
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,8,2,0.7823834196891192
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,8,3,0.8467532467532468
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,8,4,0.7890818858560794
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,8,5,0.7176781002638521
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,8,6,0.8426150121065376
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,8,7,0.7901234567901235
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,8,8,0.5434298440979954
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,8,9,0.6695652173913044
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,9,0,0.7733990147783252
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,9,1,0.5408450704225352
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,9,2,0.7441860465116279
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,9,3,0.836027713625866
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,9,4,0.8108108108108107
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,9,5,0.7830188679245284
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,9,6,0.8468899521531099
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,9,7,0.7480519480519481
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,9,8,0.5242165242165243
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,9,9,0.7188940092165899
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,10,0,0.7621359223300971
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,10,1,0.5925925925925926
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,10,2,0.6823529411764706
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,10,3,0.858611825192802
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,10,4,0.7611548556430446
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,10,5,0.7339901477832513
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,10,6,0.738095238095238
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,10,7,0.7058823529411764
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,10,8,0.5325077399380805
L3,BiLSTM,precomputed_frozen_bert_token_embeddings,10,9,0.6834170854271356
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,1,0,0.7648456057007127
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,1,1,0.5835294117647059
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,1,2,0.780246913580247
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,1,3,0.8658227848101265
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,1,4,0.7989130434782609
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,1,5,0.7566265060240963
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,1,6,0.8299319727891156
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,1,7,0.7031963470319635
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,1,8,0.419047619047619
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,1,9,0.7639257294429708
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,2,0,0.7743467933491686
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,2,1,0.6315789473684211
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,2,2,0.7535545023696683
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,2,3,0.8659793814432989
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,2,4,0.8307692307692308
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,2,5,0.7525987525987525
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,2,6,0.8721804511278195
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,2,7,0.7846153846153846
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,2,8,0.4709480122324159
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,2,9,0.7417582417582418
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,3,0,0.7957559681697612
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,3,1,0.478134110787172
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,3,2,0.7868131868131868
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,3,3,0.8113207547169812
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,3,4,0.7661469933184856
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,3,5,0.7346938775510204
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,3,6,0.8679245283018867
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,3,7,0.7258883248730965
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,3,8,0.4265734265734265
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,3,9,0.6710526315789473
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,4,0,0.79126213592233
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,4,1,0.5876543209876544
L4,BiLSTM,precomputed_frozen_bert_token_embeddings,4,2,0.7570332480818416
