context_level,representation,outer_fold,label,f1
L3,tfidf_pos,6,9,0.7475247524752475
L3,tfidf_pos,7,0,0.7677261613691931
L3,tfidf_pos,7,1,0.515970515970516
L3,tfidf_pos,7,2,0.7309644670050761
L3,tfidf_pos,7,3,0.8564356435643564
L3,tfidf_pos,7,4,0.836272040302267
L3,tfidf_pos,7,5,0.7429906542056074
L3,tfidf_pos,7,6,0.8038740920096852
L3,tfidf_pos,7,7,0.8169761273209548
L3,tfidf_pos,7,8,0.48924731182795694
L3,tfidf_pos,7,9,0.7167919799498746
L3,tfidf_pos,8,0,0.7772277227722774
L3,tfidf_pos,8,1,0.535
L3,tfidf_pos,8,2,0.78743961352657
L3,tfidf_pos,8,3,0.8629441624365483
L3,tfidf_pos,8,4,0.7880299251870324
L3,tfidf_pos,8,5,0.7551020408163266
L3,tfidf_pos,8,6,0.7943262411347518
L3,tfidf_pos,8,7,0.8275862068965517
L3,tfidf_pos,8,8,0.4910485933503836
L3,tfidf_pos,8,9,0.7029702970297029
L3,tfidf_pos,9,0,0.7549019607843137
L3,tfidf_pos,9,1,0.4720194647201946
L3,tfidf_pos,9,2,0.7149758454106279
L3,tfidf_pos,9,3,0.855
L3,tfidf_pos,9,4,0.8195121951219512
L3,tfidf_pos,9,5,0.7058823529411765
L3,tfidf_pos,9,6,0.8068459657701711
L3,tfidf_pos,9,7,0.8171428571428571
L3,tfidf_pos,9,8,0.461139896373057
L3,tfidf_pos,9,9,0.7178217821782179
L3,tfidf_pos,10,0,0.7461139896373057
L3,tfidf_pos,10,1,0.5484633569739953
L3,tfidf_pos,10,2,0.7205882352941176
L3,tfidf_pos,10,3,0.8177083333333334
L3,tfidf_pos,10,4,0.7680412371134021
L3,tfidf_pos,10,5,0.7277227722772278
L3,tfidf_pos,10,6,0.8068459657701711
L3,tfidf_pos,10,7,0.7926509186351706
L3,tfidf_pos,10,8,0.513715710723192
L3,tfidf_pos,10,9,0.6971153846153845
L4,tfidf,1,0,0.7832512315270935
L4,tfidf,1,1,0.5288461538461539
L4,tfidf,1,2,0.7215496368038741
L4,tfidf,1,3,0.8608923884514436
L4,tfidf,1,4,0.7836538461538461
L4,tfidf,1,5,0.7379134860050889
L4,tfidf,1,6,0.8495145631067961
L4,tfidf,1,7,0.8043478260869565
L4,tfidf,1,8,0.46997389033942555
L4,tfidf,1,9,0.6893203883495145
L4,tfidf,2,0,0.784869976359338
L4,tfidf,2,1,0.5545023696682464
L4,tfidf,2,2,0.7575757575757575
L4,tfidf,2,3,0.875
L4,tfidf,2,4,0.8691358024691358
L4,tfidf,2,5,0.7424242424242425
L4,tfidf,2,6,0.8543689320388349
L4,tfidf,2,7,0.814207650273224
L4,tfidf,2,8,0.5282051282051282
L4,tfidf,2,9,0.7282051282051281
L4,tfidf,3,0,0.7813267813267813
L4,tfidf,3,1,0.5369458128078819
L4,tfidf,3,2,0.7549019607843137
L4,tfidf,3,3,0.8507462686567164
