context_level,model,outer_fold,label,f1
L4,bilstm_word2vec,1,0,0.6616541353383459
L4,bilstm_word2vec,1,1,0.31097560975609756
L4,bilstm_word2vec,1,2,0.5621181262729124
L4,bilstm_word2vec,1,3,0.743455497382199
L4,bilstm_word2vec,1,4,0.5058823529411766
L4,bilstm_word2vec,1,5,0.4898710865561694
L4,bilstm_word2vec,1,6,0.6624203821656051
L4,bilstm_word2vec,1,7,0.5666666666666667
L4,bilstm_word2vec,1,8,0.1589958158995816
L4,bilstm_word2vec,1,9,0.5011185682326621
L4,bilstm_word2vec,2,0,0.5666041275797373
L4,bilstm_word2vec,2,1,0.4
L4,bilstm_word2vec,2,2,0.5446623093681917
L4,bilstm_word2vec,2,3,0.7000000000000001
L4,bilstm_word2vec,2,4,0.5603448275862069
L4,bilstm_word2vec,2,5,0.4223300970873786
L4,bilstm_word2vec,2,6,0.6470588235294118
L4,bilstm_word2vec,2,7,0.3279742765273312
L4,bilstm_word2vec,2,8,0.36
L4,bilstm_word2vec,2,9,0.3543543543543543
L4,bilstm_word2vec,3,0,0.6
L4,bilstm_word2vec,3,1,0.34986945169712796
L4,bilstm_word2vec,3,2,0.4671328671328671
L4,bilstm_word2vec,3,3,0.41355932203389834
L4,bilstm_word2vec,3,4,0.4444444444444445
L4,bilstm_word2vec,3,5,0.2827586206896551
L4,bilstm_word2vec,3,6,0.6326530612244898
L4,bilstm_word2vec,3,7,0.3018867924528301
L4,bilstm_word2vec,3,8,0.3177570093457944
L4,bilstm_word2vec,3,9,0.26578073089701
L4,bilstm_word2vec,4,0,0.6191536748329621
L4,bilstm_word2vec,4,1,0.34586466165413526
L4,bilstm_word2vec,4,2,0.588957055214724
L4,bilstm_word2vec,4,3,0.6783919597989949
L4,bilstm_word2vec,4,4,0.5404040404040404
L4,bilstm_word2vec,4,5,0.31250000000000006
L4,bilstm_word2vec,4,6,0.671875
L4,bilstm_word2vec,4,7,0.398876404494382
L4,bilstm_word2vec,4,8,0.3621621621621622
L4,bilstm_word2vec,4,9,0.4766584766584767
L4,bilstm_word2vec,5,0,0.6576576576576576
L4,bilstm_word2vec,5,1,0.46415094339622637
L4,bilstm_word2vec,5,2,0.6189376443418013
L4,bilstm_word2vec,5,3,0.6706586826347306
L4,bilstm_word2vec,5,4,0.5287958115183246
L4,bilstm_word2vec,5,5,0.4473684210526316
L4,bilstm_word2vec,5,6,0.7385321100917431
L4,bilstm_word2vec,5,7,0.6436170212765957
L4,bilstm_word2vec,5,8,0.31186440677966104
L4,bilstm_word2vec,5,9,0.46153846153846156
L4,bilstm_word2vec,6,0,0.5752212389380531
L4,bilstm_word2vec,6,1,0.4560669456066946
L4,bilstm_word2vec,6,2,0.541871921182266
L4,bilstm_word2vec,6,3,0.685968819599109
L4,bilstm_word2vec,6,4,0.51
L4,bilstm_word2vec,6,5,0.445
L4,bilstm_word2vec,6,6,0.7043478260869566
L4,bilstm_word2vec,6,7,0.393103448275862
L4,bilstm_word2vec,6,8,0.3280757097791798
L4,bilstm_word2vec,6,9,0.4482758620689655
L4,bilstm_word2vec,7,0,0.5541125541125541
L4,bilstm_word2vec,7,1,0.38877755511022044
L4,bilstm_word2vec,7,2,0.5683760683760685
L4,bilstm_word2vec,7,3,0.7390029325513195
